ID,Comments,raw text,emojis
1,check this out  when this young man play's  michael jackson smooth criminal on broken piano happy easter 🐰 enjoy,check this out  when this young man play's  michael jackson smooth criminal on broken piano happy easter  enjoy,['🐰']
2,happy easter beacon  mama! your easter egg hunt looked like a lot of fun. 💕🐾🐣🐰,happy easter beacon &amp; mama! your easter egg hunt looked like a lot of fun. ,"['🐣', '🐰']"
3,"new leni loud bunny posters gifts for also  enjoy 
💚🐰📢🏠 
#leniloud #theloudhouse #nickelodeon #easter2023 #happyeaster #sncole86postersandcollages","new leni loud bunny posters gifts for also  enjoy 
 
#leniloud #theloudhouse #nickelodeon #easter2023 #happyeaster #sncole86postersandcollages",['🐰']
4,🐰 my happiness  i on this good sunday 🌞, my happiness &amp; i on this good sunday ,['🐰']
5,"🐰-lee know bble update
[090423] 10:57 pm kst
[090423] 3:57 pm cest

raw oysters, steak, and escargot

i ate it","-lee know bble update
[090423] 10:57 pm kst
[090423] 3:57 pm cest

raw oysters, steak, and escargot

i ate it",['🐰']
6,easter bunny voods came to see me for my #birthvoodsday!  he would definitely wish everyone a happy egg-carrot day! 🐰🥕🐰🥚🐰,easter bunny voods came to see me for my #birthvoodsday!  he would definitely wish everyone a happy egg-carrot day! ,"['🐰', '🐰', '🥚', '🐰']"
7,happy easter! 🐰🐰 be safe,happy easter!  be safe,"['🐰', '🐰']"
8,i love how close  big my family is. a perfect day🫶🏽🙏🏼💕🐰,i love how close &amp; big my family is. a perfect day🫶,"['🙏', '🐰']"
9,thanks for the easter wishes! i hope you're having an egg-cellent day filled with lots of chocolate and bunny-shaped treats 🐰🍫 #happyeaster,thanks for the easter wishes! i hope you're having an egg-cellent day filled with lots of chocolate and bunny-shaped treats  #happyeaster,['🐰']
10,happy easter to you and your family!! 🐣🐰💙,happy easter to you and your family!! ,"['🐣', '🐰']"
11,🌳 knows we are whining about it a lot 🤭 love this photo!, knows we are whining about it a lot  love this photo!,[]
12,whole lot of shaking going on 🐰,whole lot of shaking going on ,['🐰']
13,"doing a little bit of spring cleaning before getting ready to meet up with a cute lady off tinder tonight! 
🐰","doing a little bit of spring cleaning before getting ready to meet up with a cute lady off tinder tonight! 
",['🐰']
14,darn straight 😤🐰❤️,darn straight ❤️,"['😤', '🐰']"
15,"how so cute you are 🐰🐰🐰
#jaemin","how so cute you are 
#jaemin","['🐰', '🐰', '🐰']"
16,"good morning to my cutie bunny,  🐰 have a nice day and i hope you're okay and happy today. take a rest na ka! 🙏🏻 luv luv luv! 🫶🏻
#srchafreen #srchfreen","good morning to my cutie bunny,   have a nice day and i hope you're okay and happy today. take a rest na ka!  luv luv luv! 🫶
#srchafreen #srchfreen","['🐰', '🙏']"
17,happy easter gin 🐰,happy easter gin ,['🐰']
18,"🐰: as you can see, we met up at the local fortune teller.",": as you can see, we met up at the local fortune teller.",['🐰']
19,happy easter everyone🐰,happy easter everyone,['🐰']
20,"happy easter to you and your beautiful family, lizzie,  ❤️🐇🐰🐣","happy easter to you and your beautiful family, lizzie,  ❤️","['🐇', '🐰', '🐣']"
21,"age gap and milf tag cause the fl is already a mom raising her daughter with her own, and the ml is her daughter's friend and classmate. 💀","age gap and milf tag cause the fl is already a mom raising her daughter with her own, and the ml is her daughter's friend and classmate. ",['💀']
22,all task completed. happy easter fellas 😁🐣🤍🐰,all task completed. happy easter fellas ,"['🐣', '🤍', '🐰']"
23,i really hope they will vote for joochan🤣🤣🤣so that baemin will get the penalty,i really hope they will vote for joochanso that baemin will get the penalty,"['🤣', '🤣', '🤣']"
24,goodnight 😴 gibbions. you are doing good then on your weight loss pal! i hope you sleep well. 💗,goodnight  gibbions. you are doing good then on your weight loss pal! i hope you sleep well. ,[]
25,happy easter 🐰,happy easter ,['🐰']
26,happy b-day  happy easter to raw women's champ  🐰🥕🐣🥚🧁🍰🎂🎁🎉🎊🎈,happy b-day &amp; happy easter to raw women's champ  ,"['🐰', '🐣', '🥚', '🎉']"
27,i finished this gift for a family member just in time for easter!🥳🌅 🐰🐣 it took me sooooo long to find the motivation to fill in with white beads and sew it on 🥴 it’s done though! happy easter to those who celebrate!,i finished this gift for a family member just in time for easter!  it took me sooooo long to find the motivation to fill in with white beads and sew it on  it’s done though! happy easter to those who celebrate!,"['🥳', '🐰', '🐣']"
28,ur  the  cutest  whaat  !  🐶🐰🎀,ur  the  cutest  whaat  !  ,['🐰']
29,🐰 💐 the jim hudson automotive group wishes you a happy easter.,  the jim hudson automotive group wishes you a happy easter.,['🐰']
