ID,Comments,raw text,emojis
1,"true, some human interaction will truly do so many ppl good man. it’s honestly easier for me to connect w ppl thru talking then texting anymore 😭","true, some human interaction will truly do so many ppl good man. it’s honestly easier for me to connect w ppl thru talking then texting anymore ",['😭']
2,i just won r1000 because arsenal avoided defeat at anfield ❤️😁,i just won r1000 because arsenal avoided defeat at anfield ❤️,[]
3,what ramsdale did for us today will never be forgotten 😭❤️,what ramsdale did for us today will never be forgotten ❤️,['😭']
4,i love ❤️ 😍 💖 that he is carrying the daffodils for the young lady. there is always time for a little sweet romance and hopes and dreams.,i love ❤️   that he is carrying the daffodils for the young lady. there is always time for a little sweet romance and hopes and dreams.,['😍']
5,i’m still waiting on my nudes babe🍆💦🍑👅❤️‍🔥😘,i’m still waiting on my nudes babe❤️‍,['🔥']
6,"we waited so long for her 🥹❤️

jisoo debut stage
#jisooatinkigayo","we waited so long for her ❤️

jisoo debut stage
#jisooatinkigayo",['\U0001f979']
7,thank you god of banter.....we are thankful💃,thank you god of banter.....we are thankful,[]
8,"i can watch you all the days of my life 😭😭😭😭😭😭❤️❤️❤️❤️❤️



tkj the brand 
project 24 challenge 
kanaga jnr 
#kanagajnr","i can watch you all the days of my life ❤️❤️❤️❤️❤️



tkj the brand 
project 24 challenge 
kanaga jnr 
#kanagajnr","['😭', '😭', '😭', '😭', '😭', '😭']"
9,"happy easter sunday colleen 😊🌸🪷🌺🐰🐣

big hugs for you 🤗😘❤️","happy easter sunday colleen 🪷

big hugs for you ❤️","['🐰', '🐣']"
10,this is what i did when i first saw it 🥹🥹🥹😁😁😁😁xxxxx♥️♥️♥️,this is what i did when i first saw it xxxxx♥️♥️♥️,"['\U0001f979', '\U0001f979', '\U0001f979']"
11,"how not fall in love with ukraine and ukrainians?
too late. my hearth is half ukranian now.😊🌻❤️","how not fall in love with ukraine and ukrainians?
too late. my hearth is half ukranian now.❤️",[]
12,"the truth will set you free, but first it will piss you off.👩🏽‍❤️‍💋‍👩🏽","the truth will set you free, but first it will piss you off.‍❤️‍‍",[]
13,"what a game wow!!! 

we did our bit to save football. over to you man city!!!

citypool forever 💙❤️","what a game wow!!! 

we did our bit to save football. over to you man city!!!

citypool forever ❤️",[]
14,so sweet of you dear brother ❤️😊,so sweet of you dear brother ❤️,[]
15,thank you liverpool ❤️💙,thank you liverpool ❤️,[]
16,"always try to make a effort to post on my b-day 🥳

this is a illustration for a mousepad i made for/ with the legend  ❤️‍🔥 hope to see it come to life here in the near future 🎨","always try to make a effort to post on my b-day 

this is a illustration for a mousepad i made for/ with the legend  ❤️‍ hope to see it come to life here in the near future ","['🥳', '🔥']"
17,"❤️: y-yes, thank you... i wanted to help you, but you've ended up helping me instead. 
💜: i'm happy that you offered, though. thanks, su~chan.","❤️: y-yes, thank you... i wanted to help you, but you've ended up helping me instead. 
: i'm happy that you offered, though. thanks, su~chan.",[]
18,aaron fucking ramsdale. i fucking love you corr 😭❤️❤️❤️,aaron fucking ramsdale. i fucking love you corr ❤️❤️❤️,['😭']
19,"i can’t imagine what the world would be like without 's energy 🤪 happy birthday!! 🥳✨ here’s to another year of chaos! ❤️‍🔥

#lilnasx #mtvceleb","i can’t imagine what the world would be like without 's energy  happy birthday!! ✨ here’s to another year of chaos! ❤️‍

#lilnasx #mtvceleb","['🥳', '🔥']"
20,"👆follow my friends👇
















share the stallion love❤️
 gain with👇
👉 #teamstallion 🐎 #family !🐎","follow my friends
















share the stallion love❤️
&amp; gain with
 #teamstallion  #family !",['👉']
21,"👨‍💼💼 ""your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work."" - steve jobs

life is too short to spend it doing work that doesn't inspire you. ❤️🌟 #passion #greatwork #fulfillment","‍ ""your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work."" - steve jobs

life is too short to spend it doing work that doesn't inspire you. ❤️ #passion #greatwork #fulfillment",[]
