ID,Comments
1,"y'all love saying this ""y'AlL dOn'T kNoW hOw tHe GuBmEnT wOrKs"" nonsensical 🐂💩 as if i can't call EVERYONE that's involved out. that man knew exactly what he did."
2,👁💩👁 Sewage spills in your area mapped as Tories accused of ‘throwing in towel’ on leaks
3,Bullcrap 💩. Your movement is a lie and disgusting.
4,", not a serious senator! another liberal wacko who believes in no laws ! If it's a liberal Judge it's OK ! Look at the 💩hole his state is! Lawlessness and anarchy rule there ! I'm sure you do agree !"
5,Why would you loose Elon? 🙄 if he's sick all the more reason For him to come say hi; blind; 🙃 eyə can cure the sick ya know. But whatever. Im just some crazy girl; 🦉👃💩🤣🤌😂 He's too thick headed to be going anywhere anyways
6,"NJ is a safe haven for every radical left wing psychopathic load of 💩 but it's definitely NOT a safe haven for Americans, senior citizens, small businesses, freedom and marine life. is a Communist (liberal) domestic terrorist #njdeservesbetter #murphymustgo"
7,The city is getting ready to shut down another major street for God knows how long🤦🏽‍♂️ This 💩 is getting beyond old 💯💯👎🏼👎🏼
8,"Up in apologizing for him, for as long as I have known him… I am the psychologist after all! And the MOM. Your queen 🐝 lol.. wink wink hip hip who has! Iran 🇮🇷🌎🤌💪🏻👍😂🐝🤣☮️🙏🎫🔥❤️✡️💩☝️🌚💀☠️🤬🫘😨🤔😻"
9,Sorry for taking a colossal s**t all over ur narrative 😭😭😭💩💩💩
10,The real Heroes. Not the junkie criminals that occupy our public spaces and attack citizens only to ask for MORE 💸🤮💩🔥🔪💉💉💉💉💉
11,I hope the family sues him. Piece of 💩
12,The piece of 💩knows it is all fabrication and he is a useless little poodle.
13,Clarence Thomas was full of BS 💩 then as he is now. #ImpeachClarenceThomas
14,That person is absolutely full of 💩
15,"The man who embodies the term DILF, the one and only Choi Mujin 🫠🧎🏻‍♀️"
16,That's not the look of oppression. 🤣🤣💩
17,The Braves have looked like 💩tonight.
18,"Who’s these other senior royals, it won’t be Anne and Edward because they’d have to take Andrews away , so your saying William Kate and Sophie 😂😂or maybe the KCs wife, she’s not popular at anytime, this RF won’t last till George it’s like a 💩soap opera"
19,"👀👀👀 Lookey here telling lies for the Liberals like usual! This was a policy legislated under  legislated to END NOW! NOTHING TO DO WITH LABOR! Sky news, the place you go to for LIES  🐂 💩!"
20,You lie and you make up crap 💩 you are MAGA Nazi Disciple of Antichrist Trump.
21,"He's taken lives. He funneled US taxpayer funds into Gain of Function Research in Wuhan China. The man made virus escaped the lab... causing pandemic. Unless, you believe the 'wet market' 🐂💩."
22,"You all demented Liberal Democ-RATS are what is wrong, cancer of society 🤣🤭💩💯😂🤣🤭💩💯💯😂🤡🤡🤡🤡"
23,The guy can’t hit a beach ball with a tennis racket right now. I’m sure he will eventually bounce back but right now he’s 💩
24,And soon was very disappointed at his request!! 💩💩
25,She is Absolutely A DISGUSTING PIECE OF 💩💩💩
26,This disgusting piece of crap 💩 of a man
27,"SCAMMER ALERT 🚨 If this guy slides in your DMs, just hit him with the #BlockAndRock and tell him “Na na na boo-boo, stick your head in doo-doo!” 🚫🤘🏻💩"
28,I thought he was at least decent defensively. Looks like a straight turd 💩 out there
29,No Labels is a pro-Trump super pac. Do not fall for their 🐃💩
30,So he’s making shirts that never need to be washed? BS 💩💩💩
31,Apprehensive. Yes. Start. Solid. Stick to the plan. No 🐎💩 Watch Jack.. both. 🤞🏽
32,"Many times I think David Icke has been right all long. It’s hard to imagine how humans can do this 💩 to other humans, mind boggling."
33,Are you gay and weak??? Yep!! You're a demented Liberal DemocRAT 🤣 🤭💩💯😊🤣🤭🤭💩💯😂
34,"He mucks up everything he touches! So what did we really expect from Justinflation The Turd, the Lieberals, the NDP and Jughead????? 💩💩💩💩💩💩💩💩"
35,"Yeah, they're your rules and you're a dumb💩 so they are rules for dumb💩s ... 🤷"
36,Lol I clicked on your account and saw Chicago so I don’t even need to debate since you still voluntarily live in that 💩 hole
37,He had 3 in 18 seasons. Riley didn’t change 💩. OU won 10-12 games consistently before Riley clown
38,If Kim's mouth is open you know a lie be flying out. No one wants to hear a bag of bull💩 on repeat.
39,"Take 5 best relief pitchers in MLB right now add a 6th one that’s horrible. they are guaranteed to pick the 6th one and make it sound like they got a golden egg🤯😵‍💫 do they not understand it drags the whole team down, when the guys know there lead will get blown 70% of the time💩"
40,Do you need directions to bring your entire group of anti-constitution pieces of 💩 #NewYorkers with ya?
41,My sharty 💩a angel 👼 but she in love 🖤 wit a demon 😈
