ID,Comments,raw text,emojis
1,this mentality though 😂😤 but can you borrow me $1k😩🥹,this mentality though  but can you borrow me $1k,"['😂', '😤', '\U0001f979']"
2,i'll be looking forward to more of your tweets for this promo! it's really so soft 🥹,i'll be looking forward to more of your tweets for this promo! it's really so soft ,['\U0001f979']
3,new mutuals urgently needed 🙏🥹,new mutuals urgently needed ,"['🙏', '\U0001f979']"
4,"i'm just shouting when muggles seen my vid and they're started to fangirling namgil 🥹♥️
y'all my man very charming ✨
come on let's bucin with me 🥹🥹","i'm just shouting when muggles seen my vid and they're started to fangirling namgil ♥️
y'all my man very charming ✨
come on let's bucin with me ","['\U0001f979', '\U0001f979', '\U0001f979']"
5,"and just like that it’s all over for another season 🥹 proud to have been a part of this season, proud of the players  what  achieved with his team, cannot wait for the new season, the count down is already on! 🙌🏼 
#proud #welldone #manchesterstorm #wearestorm","and just like that it’s all over for another season  proud to have been a part of this season, proud of the players &amp; what  achieved with his team, cannot wait for the new season, the count down is already on!  
#proud #welldone #manchesterstorm #wearestorm",['\U0001f979']
6,perfection 🥹,perfection ,['\U0001f979']
7,"biggest compliment ever, you just made my week so much better 🥹😭","biggest compliment ever, you just made my week so much better ","['\U0001f979', '😭']"
8,lately mark looks even more like his rookie self and this makes me a little too emotional 🥹💔💔💔,lately mark looks even more like his rookie self and this makes me a little too emotional ,['\U0001f979']
9,why i no one irl streaming dreamhack 🥹,why i no one irl streaming dreamhack ,['\U0001f979']
10,"the closer i’ve grown to god, the more i’ve started thriving mentally 🥹","the closer i’ve grown to god, the more i’ve started thriving mentally ",['\U0001f979']
11,love that for us 🥹,love that for us ,['\U0001f979']
12,can’t wait for my crush to meet cari with me at pride 🥹,can’t wait for my crush to meet cari with me at pride ,['\U0001f979']
13,my baby little hugs are life 🥹,my baby little hugs are life ,['\U0001f979']
14,the butterfly confetti is so beautiful 🥹,the butterfly confetti is so beautiful ,['\U0001f979']
15,i’m making an amatw gc who wants to be in it 🥹🐜🐝🫶🫂,i’m making an amatw gc who wants to be in it 🫶,['\U0001f979']
16,sweetener really hits u when u’re at the lowest point of ur life 🥹,sweetener really hits u when u’re at the lowest point of ur life ,['\U0001f979']
17,please tell me you'd be down for a hooty spin-off. there will never be enough bird-tube in my life 🥹,please tell me you'd be down for a hooty spin-off. there will never be enough bird-tube in my life ,['\U0001f979']
18,the night just began 🥹🤭,the night just began ,['\U0001f979']
19,deleting media off my phone and i really have concert videos of de la soul and schoolboy q with gorillaz 🥹,deleting media off my phone and i really have concert videos of de la soul and schoolboy q with gorillaz ,['\U0001f979']
20,i commend anybody going to school as an adult because staying focused on learning a new career while life is happening around you aint no joke📚🥹 #marketing,i commend anybody going to school as an adult because staying focused on learning a new career while life is happening around you aint no joke #marketing,['\U0001f979']
21,your gotta a friend on me 🥹✨,your gotta a friend on me ✨,['\U0001f979']
22,pain is when you gotah lock and fan duel don’t let you deposit and it hits 🥹🔫,pain is when you gotah lock and fan duel don’t let you deposit and it hits ,['\U0001f979']
23,you awakened so many old memories 🥹,you awakened so many old memories ,['\U0001f979']
24,i need a festival asap to get lost and meet random people 🥹 shits always fun,i need a festival asap to get lost and meet random people  shits always fun,['\U0001f979']
25,"people pt.2 x face x the astronaut started😌😍🥰🤟🏻🫂🤌🏻💜🙈🫰🏻

people pt2 out now  
people pt2 by agust d  
#agustdxiu
agust d official debut","people pt.2 x face x the astronaut started

people pt2 out now  
people pt2 by agust d  
#agustdxiu
agust d official debut","['😍', '🥰']"
26,came home after a 12h shift to a signed ateez album 🥹,came home after a 12h shift to a signed ateez album ,['\U0001f979']
27,"this airport fashion is a breath of a fresh air bcs i never saw that cardi and tshirt before, finally we can confirmed that chenle’s closet doesn’t only contain of that black gucci jacket and aladin pants 🥹","this airport fashion is a breath of a fresh air bcs i never saw that cardi and tshirt before, finally we can confirmed that chenle’s closet doesn’t only contain of that black gucci jacket and aladin pants ",['\U0001f979']
28,domo and the kids always want tacos 🙄 i love them so much cus meee toooooo 🥹💜,domo and the kids always want tacos  i love them so much cus meee toooooo ,['\U0001f979']
29,thanking whoever took this pic omg 🥹💜,thanking whoever took this pic omg ,['\U0001f979']
30,a house doesn’t smell of food 🥹,a house doesn’t smell of food ,['\U0001f979']
31,awee carleen stoppp aksjs you're the sweetest 😭🥹 tysm for your support and everythinggg ilyyy 🥺💖🫂,awee carleen stoppp aksjs you're the sweetest  tysm for your support and everythinggg ilyyy ,"['😭', '\U0001f979']"
32,"#nufc
missed almiron 🥹
hope he can rejoin the group before villa match","#nufc
missed almiron 
hope he can rejoin the group before villa match",['\U0001f979']
33,i’m gunna get to shoot my bow and arrow today!!! it’s been years man 🥹,i’m gunna get to shoot my bow and arrow today!!! it’s been years man ,['\U0001f979']
