ID,Comments,raw text,emojis
1,"winner 🏆: 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️","winner : 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️",['🏆']
2,"wts / lfb / want to sell
no sensitive collector ❌
💛 | 💙
💛 | 💛

idr. 165,000* (exc📦admfee)
prio bundle taker
💛 can be taken individually

""take wonu its aja boleh?"" wouldn't be answered❌

loc. jatim ina
ww shipping ✔️

wts seventeen svt seungkwan wonwoo vernon its appa jay","wts / lfb / want to sell
no sensitive collector ❌
 | 
 | 

idr. 165,000* (excadmfee)
prio bundle taker
 can be taken individually

""take wonu its aja boleh?"" wouldn't be answered❌

loc. jatim ina
ww shipping ✔️

wts seventeen svt seungkwan wonwoo vernon its appa jay","['💛', '💙', '💛', '💛', '📦', '💛']"
3,"winner 🏆: 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ yuugu423","winner : 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ yuugu423",['🏆']
4,"damn it, i know that i am old, butt, i am confused again! 🦖🦕  🤔

gays likes ""opposite sex""! 📋 ✔️

butt, if there is ""no opposite sex""?  🥴🙃

non-binary?🤔","damn it, i know that i am old, butt, i am confused again!   

gays likes ""opposite sex""!  ✔️

butt, if there is ""no opposite sex""?  

non-binary?","['🦖', '🦕', '🤔', '📋', '🥴', '🙃', '🤔']"
5,"congratulations to the winners! 🏆
• 
• 
• 

dm us to give us your discord ids to claim your whitelist role!

✔️","congratulations to the winners! 
• 
• 
• 

dm us to give us your discord ids to claim your whitelist role!

✔️",['🏆']
6,"if you...
 ....prefer the light.... to darkness💫
learn to have a light handy...🧲✔️✔️
and be sure ...you know...
...how to.... turn it on...🕺","if you...
 ....prefer the light.... to darkness
learn to have a light handy...✔️✔️
and be sure ...you know...
...how to.... turn it on...","['💫', '🧲', '🕺']"
7,"winner 🏆: 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ awbxcn7g","winner : 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ awbxcn7g",['🏆']
8,"wow ,  liked his own post, plus he pays a billionaire $$$ just to have a check ✔️ ✅️ next to his name . 
how pathetic 🙄","wow ,  liked his own post, plus he pays a billionaire $$$ just to have a check ✔️ ✅️ next to his name . 
how pathetic ",['🙄']
9,"if you spent less time on your knees to westminster, you'd know what was wrong with it. and i'm saying that as someone who's from london.

rangers        ✔️
servile           ✔️
bigot              ✔️
🇬🇧                   ✔️

#yoonbingo","if you spent less time on your knees to westminster, you'd know what was wrong with it. and i'm saying that as someone who's from london.

rangers        ✔️
servile           ✔️
bigot              ✔️
                   ✔️

#yoonbingo","['🇬', '🇧']"
10,"winners 🏆:  

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ f9b2jrnb","winners :  

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ f9b2jrnb",['🏆']
11,"winner 🏆: 

 verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ 4rssf5x2","winner : 

 verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ 4rssf5x2",['🏆']
12,"winner 🏆: 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ ej4j9cny","winner : 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ ej4j9cny",['🏆']
13,"winner 🏆: 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ h3hn2gam","winner : 

verify your win on , read his pinned tweet and send the needed details to his dm.

✔️ h3hn2gam",['🏆']
14,"all by design ✔️ 💯 
""the lights are on but nobody's home"" 
wakey wakey 👀","all by design ✔️  
""the lights are on but nobody's home"" 
wakey wakey ","['💯', '👀']"
15,"derma sotogake has several ls on mandarin hero, the kentucky derby would be be a nice box to ✔️ for japanese connections 🤞","derma sotogake has several ls on mandarin hero, the kentucky derby would be be a nice box to ✔️ for japanese connections ",['🤞']
16,"fixed ✔️ 
polish color is shell pink 💖 📌","fixed ✔️ 
polish color is shell pink  ","['💖', '📌']"
17,"anyone need this t-shirt ? just write ""i want one""
you can order the t-shirt at store. (link in bio ) this is a limited number of t-shirt, order quickly
.
✔️ tag your friends who love this❤️
.
🌍 worldwide shipping
.
💯 satisfaction guaranteed","anyone need this t-shirt ? just write ""i want one""
you can order the t-shirt at store. (link in bio ) this is a limited number of t-shirt, order quickly
.
✔️ tag your friends who love this❤️
.
 worldwide shipping
.
 satisfaction guaranteed","['🌍', '💯']"
18,"winners 🏆
• 
• 

please dm  with your discord id and wallet within 12 hours.

✔️","winners 
• 
• 

please dm  with your discord id and wallet within 12 hours.

✔️",['🏆']
19,"yunjin in her instagram account

""kwondo✔️🖤 ft.crazy kimchi fries #nikekwondo1 #freedominflow""

#lesserafim #fearless #yunjin","yunjin in her instagram account

""kwondo✔️ ft.crazy kimchi fries #nikekwondo1 #freedominflow""

#lesserafim #fearless #yunjin",['🖤']
20,"wordle 659 4/6

⬜⬜⬜⬜⬜
⬜🟨🟨⬜⬜
⬜⬜🟩🟩🟨
🟩🟩🟩🟩🟩about right✔️","wordle 659 4/6

⬜⬜⬜⬜⬜
⬜⬜⬜
⬜⬜
about right✔️","['🟨', '🟨', '🟩', '🟩', '🟨', '🟩', '🟩', '🟩', '🟩', '🟩']"
21,"congrats to  for winning a blockchain bandicoot nft! thank you for supporting us! i'll send you a dm! 🦊🎁🚀🌙

✔️","congrats to  for winning a blockchain bandicoot nft! thank you for supporting us! i'll send you a dm! 

✔️","['🦊', '🎁', '🚀', '🌙']"
22,"proud of our competitive courageous cougars!
congratulations and sharing your joy/pride! fill the stands in georgetown with spirit.  wear green!⚽️✔️💚","proud of our competitive courageous cougars!
congratulations and sharing your joy/pride! fill the stands in georgetown with spirit.  wear green!⚽️✔️",['💚']
