ID,Comments
1,"true, some human interaction will truly do so many ppl good man. it’s honestly easier for me to connect w ppl thru talking then texting anymore 😭"
2,Liverpool 2-2 A.Ramsdale 🔥 #LIVARS
3,I just won R1000 because Arsenal avoided defeat at Anfield ❤️😁
4,"Tap with a ,❤️, let’s follow you fast ❤️"
5,What Ramsdale did for us today will never be forgotten 😭❤️
6,I love ❤️ 😍 💖 that he is carrying the daffodils for the young lady. There is always time for a little sweet romance and hopes and dreams.
7,thank you ❤️
8,I’m still waiting on my nudes babe🍆💦🍑👅❤️‍🔥😘
9,we waited so long for her 🥹❤️ JISOO DEBUT STAGE #JISOOatINKIGAYO
10,my cousins boyfriend looks like a bobs burgers character ❤️
11,Thank you god of banter.....we are thankful💃
12,"Aai Shappat ek number is the only track I'm listening to since the morning.. vocals, edits choreography the best ❤️ Not an edit just some clips that I love the most if you haven't created a reel on this audio pls create! AAI SHAPPATH SHIV X MAYUR #ShivThakare #ShivKiSena"
13,❤️🐰
14,v happy for bobby scoring against his faves again ❤️
15,"Everybody who grew up in Nigeria has probably heard the stories of Lagos and Isale Eko, this was an opportunity for people to experience what life is like there and also see those actors bring it to life was just exceptional. Nollywood isn’t what it used to be ❤️"
16,I can Watch you all the days of my life 😭😭😭😭😭😭❤️❤️❤️❤️❤️ TKJ THE BRAND PROJECT 24 CHALLENGE KANAGA JNR #KanagaJnr
17,Happy Easter Sunday Colleen 😊🌸🪷🌺🐰🐣 Big hugs for you 🤗😘❤️
18,This is what I did when I first saw it 🥹🥹🥹😁😁😁😁xxxxx♥️♥️♥️
19,Aaron fucking Ramsdale ❤️❤️ Stress 😮‍💨😮‍💨 #LIVARS #AFC
20,"Draw. We're so lucky we didn't lose ngl. So many players played scared today. Saka, Odegaard, Xhaka, Partey. Holding and Gabriel was immense. And don't get me started on Ramadansdale. What a legend, my ADHD keeper❤️"
21,How not fall in love with Ukraine and ukrainians? Too late. My hearth is half ukranian now.😊🌻❤️
22,"The truth will set you free, but first it will piss you off.👩🏽‍❤️‍💋‍👩🏽"
23,WHAT A GAME WOW!!! We did our bit to save football. Over to you Man City!!! CityPool forever 💙❤️
24,Heyyy gonna do some commissions around 3pm come chat with me ❤️
25,Absolute heartbreaking but I am more confident we can go on winning the league ❤️
26,"Thanks for supporting, you stood for me on this low. Thanks for existing ❤️ #OrangeFireIdhi"
27,Well I’m glad u liked it😊❤️
28,انتي قمر ❤️
29,45 mins of pure suffering… COYG❤️
30,So sweet of you dear brother ❤️😊
31,"Fwiw: I’m happy you’re on the recovery road. Looking forward to following you to share  learn. I love my sobriety (which I credit to AA 12 Steps  fellows). Please know, far above any sensitivity I have about a few words, w/my whole ❤️, I wish you a fulfilling sober adventure."
32,THANK YOU LIVERPOOL ❤️💙
33,It’s actually 2 people. and U both have changed me so much in the time I’ve met you. I cannot thank you both enough for changing who I am and for helping me get over my depression. U both are my bestirs forever. ❤️❤️❤️❤️
34,What a game ❤️
35,end of an era❤️
36,Aaron Ramsdale ❤️
37,I’m happy you are fine bro. Take care of yourself and get well soon! ❤️
38,Always try to make a effort to post on my b-day 🥳 This is a illustration for a mousepad I made for/ with the legend ❤️‍🔥 hope to see it come to life here in the near future 🎨
39,See what Liverpool missed ☹️
40,"❤️: Y-Yes, thank you... I wanted to help you, but you've ended up helping me instead. 💜: I'm happy that you offered, though. Thanks, Su~chan."
41,"Even at Liverpool 's bad form, they produce breathtaking football games ❤️❤️❤️"
42,Aaron fucking ramsdale. I fucking love you corr 😭❤️❤️❤️
43,I can’t imagine what the world would be like without energy 🤪 Happy birthday!! 🥳✨ Here’s to another year of chaos! ❤️‍🔥 #lilnasX #MTVCeleb
44,👆Follow my friends👇 Share the Stallion Love❤️  Gain with👇 👉 #TEAMSTALLION 🐎 #family !🐎
45,"👨‍💼💼 ""Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work."" - Steve Jobs Life is too short to spend it doing work that doesn't inspire you. ❤️🌟 #Passion #GreatWork #Fulfillment"
46,Hello Friend today 9999 Spins Free limited💥❤️🎉 Just Follow this Step. 1. Comment ( #spins ) 2. Retweet 3. Get Now👉: #coinmasterfreespinslink #CoinMasterspins #coinmaster #coinmasterofficial #coinmasterfreespins #CoinMarstersharelink #Chicago #Illinois
47,Active❗️ RT 🔄 fast + Follow me First  everyone who LIKE ❤️➕♻️ RT ≬ 🫂💋⁶¸❤️‍🔥™️
48,Thank you ❤️
49,He holds a special place in my heart 😩❤️
50,Congratulations on hitting 15K !!🥳 Many more to come!!❤️ Stay blessed and happy always!!😇
51,"Anyone should pls help this poor boy 🙏 i need a survival fund of 1,500 pls help me out abeg of you all 🙏 i want to get food for my son pls 8145056881 palmpay wasiu rilwan kayode. Thanks in anticipation 🙏"
52,"Shows how far we have gone, we used to get rolled over there, a point is a point in the end COYG ❤️❤️❤️❤️❤️"
53,Yes. Thank you. In this case it’s just a bad hangover ❤️
54,This match should have come with a health advisory warning! Kwɛɛ! 😅 Well played. 🤝🏾 Liverpool 2-2 Arsenal 🔥🔥🔥
55,Here for you ❤️
56,Man – a being in search of meaning.👩🏾‍❤️‍👨🏼
57,Glad to hear that you're getting better! ❤️
58,Ignorance is bliss. And I see a lot of y’all are truly blissful based on the artists that y’all support. 🐦 🧠
