ID,Comments,raw text,emojis
1,i love when that ass be so soft like charmin boy 😎🤗🤯,i love when that ass be so soft like charmin boy ,['😎']
2,rather be surrounded by dat water than some fuck niggas that's why i love dat beach 🏖️😎,rather be surrounded by dat water than some fuck niggas that's why i love dat beach ️,['😎']
3,"got like 4 ppl in my twitter circle , wanna add more so lmk sum 😎","got like 4 ppl in my twitter circle , wanna add more so lmk sum ",['😎']
4,that's really cool 😎,that's really cool ,['😎']
5,"oh wow, that's amazing isn't it - well the weather is absolutely perfect, and wouldn't it have been a coincidence if you had climbed it yesterday, just when i was there 😎","oh wow, that's amazing isn't it - well the weather is absolutely perfect, and wouldn't it have been a coincidence if you had climbed it yesterday, just when i was there ",['😎']
6,"now all y’all folks see exactly the kind of supportive energy you’ll find on the #nolimits podcast😎🎙️

cough* 👇🏽","now all y’all folks see exactly the kind of supportive energy you’ll find on the #nolimits podcast️

cough* ",['😎']
7,"if #tawanchai isn’t the #muaythai fighter, what he will be…??? 😎😎😎 #muaythaifighter #ai #aiartwork #aipicture #muaythaifighter  #ตะวันฉาย #onechampionship #twitter #martialarts","if #tawanchai isn’t the #muaythai fighter, what he will be…???  #muaythaifighter #ai #aiartwork #aipicture #muaythaifighter  #ตะวันฉาย #onechampionship #twitter #martialarts","['😎', '😎', '😎']"
8,this is the way 😎 i like to buy short squeeze candidates lol,this is the way  i like to buy short squeeze candidates lol,['😎']
9,"before the day ends, just a little happy easter from evan and i 😎","before the day ends, just a little happy easter from evan and i ",['😎']
10,he is a handsome little dude. think he’d share that cotton candy?😉🤨😎,he is a handsome little dude. think he’d share that cotton candy?,"['😉', '😎']"
11,my beard is where i like it to drop from. i love your analogy because i love seafood boils 😎and the image you gave was vivid to me. i’m a gemini by the way. 🤣,my beard is where i like it to drop from. i love your analogy because i love seafood boils and the image you gave was vivid to me. i’m a gemini by the way. ,"['😎', '🤣']"
12,"📢""heyy, who wanna become an #influencer on #tiktok?""
- me!!!!! i wanna quit my job so bad 🥹

check out this blog to find out how to be one‼️
😎how to become a tiktok influencer?  

#howto #mondaythoughts #tiktokanalytics","""heyy, who wanna become an #influencer on #tiktok?""
- me!!!!! i wanna quit my job so bad 

check out this blog to find out how to be one‼️
how to become a tiktok influencer?  

#howto #mondaythoughts #tiktokanalytics","['\U0001f979', '😎']"
13,i literally buy shit and never wear it 🤦🏾‍♂️,i literally buy shit and never wear it ‍♂️,[]
14,ready to ride 😎🔥🏄‍♂️,ready to ride ‍♂️,"['😎', '🔥']"
15,"you will become unstoppable once
you realize that you can do it all
again……

read again😎","you will become unstoppable once
you realize that you can do it all
again……

read again",['😎']
16,"all these icons, and i made him raged quit 😎✌️🤣 #ps5share, #fifa23","all these icons, and i made him raged quit ✌️ #ps5share, #fifa23","['😎', '🤣']"
17,thanks for the compliment 😎,thanks for the compliment ,['😎']
18,"i post and delete voice tweets all the time, call cap until you catch one 😎","i post and delete voice tweets all the time, call cap until you catch one ",['😎']
19,"love youuuuuu
im ready for jjk1 syg😎😎","love youuuuuu
im ready for jjk1 syg","['😎', '😎']"
20,gifts from my dad. he knows the way to my heart 😎🍻,gifts from my dad. he knows the way to my heart ,['😎']
21,and me silently exposing everyone 😎,and me silently exposing everyone ,['😎']
22,"insightful week, wonder how fast karma will catch up to bm  db? karma is the breeze in my hair on the weekend 😎","insightful week, wonder how fast karma will catch up to bm &amp; db? karma is the breeze in my hair on the weekend ",['😎']
23,only 95% of orthodox? we need to do better. ☦️😎,only 95% of orthodox? we need to do better. ☦️,['😎']
24,can't complain about you're're mother 😎,can't complain about you're're mother ,['😎']
25,gonna be adding a new oc to the stage very soon! 😎😎😎 he’s my fanfic oc for reader inserts lol,gonna be adding a new oc to the stage very soon!  he’s my fanfic oc for reader inserts lol,"['😎', '😎', '😎']"
26,the outfit i wore today i was supposed to wear for thanksgiving 2021 😩 that outfit been sitting a year and six months 🤦🏾‍♂️,the outfit i wore today i was supposed to wear for thanksgiving 2021  that outfit been sitting a year and six months ‍♂️,[]
27,eeee i cant wait 🥺 dw i will!! i took a long break during the weekend relaxing and fully recharged to get back to the grind 😎💖,eeee i cant wait  dw i will!! i took a long break during the weekend relaxing and fully recharged to get back to the grind ,['😎']
28,"i’m looking forward to this pop out. ❣️
summer 2023 is going to be the one 😝😎🤭🤭🤭","i’m looking forward to this pop out. ❣️
summer 2023 is going to be the one ",['😎']
29,me and my favorite magic card 😎,me and my favorite magic card ,['😎']
30,"disrespect 
most men are disrespectful and feel the entitlement of a woman's respect just because they carry balls around forgetting that we carry our balls with our chest out🤧","disrespect 
most men are disrespectful and feel the entitlement of a woman's respect just because they carry balls around forgetting that we carry our balls with our chest out",[]
31,and i love every second of it. 😎#kingdomhearts,and i love every second of it. #kingdomhearts,['😎']
32,"yeah. screaming with a hundreds of other people is not my thing. i am a huge fan, however, unless i was invited to see the movie and attend a dinner, my ego would get in the way. lol ..right? so i will go with the concert..and we are going to the concert..☮️💟😎🎶🎸✌️","yeah. screaming with a hundreds of other people is not my thing. i am a huge fan, however, unless i was invited to see the movie and attend a dinner, my ego would get in the way. lol ..right? so i will go with the concert..and we are going to the concert..☮️✌️",['😎']
33,vermont definitely sounds good to me!! plus if you like to get smoky you can come find out what these here green mountains about and then you can hit ben  jerry’s 😂😎,vermont definitely sounds good to me!! plus if you like to get smoky you can come find out what these here green mountains about and then you can hit ben &amp; jerry’s ,"['😂', '😎']"
34,expensive all their food items taste the same and i feel like shit after eating everytime💯😎,expensive all their food items taste the same and i feel like shit after eating everytime,['😎']
35,i have assisted in my daughters graduation from her most favorite food being ramen noodles to chicken and rice(the way her pops makes it) that would be me if you did not figure that part out yet. 😎,i have assisted in my daughters graduation from her most favorite food being ramen noodles to chicken and rice(the way her pops makes it) that would be me if you did not figure that part out yet. ,['😎']
36,living proof of ya fuckin mother 😎,living proof of ya fuckin mother ,['😎']
37,you don't have to convince me of a great time 😎,you don't have to convince me of a great time ,['😎']
38,wite something about  and make sure attach #sui tag 😎,wite something about  and make sure attach #sui tag ,['😎']
39,waiting patiently for my person 👌🏾,waiting patiently for my person ,[]
40,"good night, twitter.  i hope everyone who celebrated easter enjoyed their holiday.  if you didn't celebrate anything, i hope you had a great weekend.  

see you early in the morning. 😴","good night, twitter.  i hope everyone who celebrated easter enjoyed their holiday.  if you didn't celebrate anything, i hope you had a great weekend.  

see you early in the morning. ",[]
41,he was unbelievable post ian. 👊🏼😎,he was unbelievable post ian. ,['😎']
42,this one no come from happy home o 😂,this one no come from happy home o ,['😂']
43,"#ladysuperstar #nayanthara has strong line up ! 🔥

#jawan 
#iraivan 
#ladysuperstar75
#nt81 are officially confirmed ✔️

•the test (madhavan-siddarth) 
•rathna kumar project (lawrence) 
•thani oruvan 2 mostly confirmed ✔️

waiting for official announcements 😎","#ladysuperstar #nayanthara has strong line up ! 

#jawan 
#iraivan 
#ladysuperstar75
#nt81 are officially confirmed ✔️

•the test (madhavan-siddarth) 
•rathna kumar project (lawrence) 
•thani oruvan 2 mostly confirmed ✔️

waiting for official announcements ","['🔥', '😎']"
44,notice: bailey is a male 😎,notice: bailey is a male ,['😎']
45,it was cool while it lasted . 😎,it was cool while it lasted . ,['😎']
46,"anyway, agenda today is to finish reading haunting adeline, so i can start with hunting adeline... 😎","anyway, agenda today is to finish reading haunting adeline, so i can start with hunting adeline... ",['😎']
47,"laptop is for yt / spoti
then my cp is for am

triple streaming in a day 😎
i am planning... like, i need time  ofc money.","laptop is for yt / spoti
then my cp is for am

triple streaming in a day 
i am planning... like, i need time &amp; ofc money.",['😎']
48,"🍀

don't forget:

individuals who:

die their hair blue
wear a mask while driving solo
have poor foot hygiene
drive a prius

😎","

don't forget:

individuals who:

die their hair blue
wear a mask while driving solo
have poor foot hygiene
drive a prius

",['😎']
49,stand on some on something or fall for anything 💯😎🦾,stand on some on something or fall for anything ,['😎']
50,"must be a day for crappy stuff…i’m blaming it all on the big full moon. hopefully your trip back home is better 🙏🏻be safe and i hope all the whackos stay away from you 😎
happy easter blessings to you!🐣","must be a day for crappy stuff…i’m blaming it all on the big full moon. hopefully your trip back home is better be safe and i hope all the whackos stay away from you 
happy easter blessings to you!","['🙏', '😎', '🐣']"
