ID,Comments
1,Text
2,Then it's a whale or porpoises and sharks CAN be lovely too 🤔
3,"So your job is to sort 🤔 unemployment, but somewhat bothered more about Obi. 🤮"
4,Is there an age when guys stop trying to breed 🤔
5,Why does either party have to dominate the relationship 🤔
6,on phenotype dark skin??? 🤔 Either way I’m getting more curious about the dark skin ppl that were in the Americas and where are they.
7,Is that all for you? 🤔😂😂
8,Many ppl.get killed under mysterious circumstances. How come pasha is Getting a spl privileged 🤔
9,Is it not a little insensitive to do a thirst trap on a religious holiday? 🤔
10,What if players do this for the 65 game minimum to earn accolades so they can load manage ? 🤔
11,Where do you get these stats sis🤔
12,Is it me or does this sound an awful lot like a hitlerian or 1984-esque propaganda tactic? 🤔
13,Or. How I went from 12 to 2.6 B to 0 on 2030 yrs 🤔🤔🤔
14,But feel like it gonna fall within 7.2-6.8 range or below as well if considering 10 being the LH possibly 🤔
15,I wonder how many times did Taylor practice the laugh from Hey Stephen 🤔 #2YearsofFearlessTaylorsVersion ✨💛
16,What does he know? Makes you 🤔
17,People following you on Social Media. Question to ponder. Are you the Catfish or Con or is the person who you started following.....? 🤔 😆
18,what if I said I wanna match wad pfps with someone on twitter 🤔
19,Indeed (you are dreaming) 🤔 Time to wake up! 📢
20,No mention of andys hands on him. 🤔
21,I imagine how you gather the confidence! 🤔🤔😂😂😂
22,"if you were born deaf, what language were you thinking 🤔"
23,"I’m not sure the ‘Eejit fae the Isles’ has thought this through. For his theory to make sense, not normally a prerequisite of his to be fair, then Peter would have wanted Humza to win in the knowledge that in his first week he’d face all this. Hmm 🤔"
24,yo ass real but this dick not 🤔😕
25,Thoughts ? 🤔
26,"Mmmmm i get that, I'm lucky to have like minded colleagues who as carers recognised I was struggling,so took care of ME So we are now three very connected carers doing the best job of looking out for pws whilst supporting each other Who else cares for carers? 🤔 Happy Easter🐣 😀"
27,"Not this year, busy on the Saturday. If we make it through to Sunday then maybe 🤔 😆 Booked a tournament ticket for GB instead and hoping to visit Minnesota in November 🏒 🥅"
28,... And to 'banging your dong' to rouse everyone that dinner is ready 🤔😜😂
29,The ghost of Christmas yet to come 🤔🤷‍♂️
30,Well done - I had 62 and lost 3 in the space of 5 mins 🤔😂🤷‍♀️
31,"Can the Lakers go above Clippers 🤔, please do what you do best !! Beat those clippers . Is that too much to ask for 🙏🏾 #NBA #NBAPlayoffs"
32,"Will be on hiatus, going to California 🐻 to see my niece named Elise 💕 -but I'm still thinking 🤔 of you and will be back !"
33,"Not stamps, but books every year...I assume it was at a prize giving 🤔"
34,A ....Mermaid 🤔 from Stephen King
35,One year from now we have the first DBXEN halving and we'll be at 5000 DXN / day. At that point also a lot of XEN will be coming on the market. What happens if more xen competes for half the DXN release? 🤔
36,"Day 99: pondering, her favourite activity 🤔"
37,Now that's a fact 💯🤔 think about it people 🤔
38,What’s the importance?😊🤔
39,all those derails in last 3 weeks and people still think it is a coincidence 🤔
40,when a ugly hoe calls you twin🤔
41,The US actually has a similar process at The Tomb of the Unknown Soldier. This just reminded me to harass about identifying those soldiers. 🤔
42,I think the guy saying this is stupid and doesn't know what cheating means 🤔
43,"Sebbo, so which one is it. 'Most importantly don’t forget I highly maintain my unit'. Or 'bare minimum maintenance'? 🤔 bera clear!"
44,I think common sense would tell you that there is an issue if any boat going through does not arrive at the other end......🤔🤓
45,Check out his name; a true instigator! Where has he been in the last seven years? 🤔! #YNWA
46,Excuse me who on earth is Tom can’t you see my name 🤔
47,And ... Because we need floppy drives to work with smartphones. 🤔
48,Season 1: #Zodiac recap of our #constellation map 1st impressions! Most convincing/vaguely understandable👍 : ♊ ♌ ♍ ♎ Least convincing/vaguely concerning🤔: ♑ ♓ ♋ ♐ ♈ #astronomy #mythology What's your ranking?? Here are the charts we use:
49,you gon swipe or Cap either you getting to the bag 💰💰or you capping 🧢 🤔
50,when people argue with you about your own health conditions 🤔🤔🤔🤔
51,which mates you're talking about 🤔
52,I wanna know. Is it 2+ yrs?🤔
53,why you post BARCA reated pic then?🤔
54,My pre almost gone..what flavor next 🤔
55,"Wow!!! even the trolls wanted to participate in our food trivia  #MarblesOnStream in a weird creepy kind of way, we must be doing something right🤔 See your on today's #Easter Sunday cook at #twitch"
56,Mitrovic has an massive ban pending as they try and extend it. For handling a ref! Electric chair for this surely 🤔
57,A number to large to comprehend....🤔
58,"Tis better to be pissed off than pissed on. One of those twerps comes up on me, they'll find out what it's like. But, they might enjoy it🤔🤔"
59,"Surprised to see your attire... I liked your transparency / straight forwardness during BB6. Hence #justasking - is it a compulsion to wear a cap or your choice. If it's a choice, would you follow/practice something similar when you speak in other faiths sessions.🤔"
60,Tomorrow’s expressions/experiences are determined by today’s impressions. Only when we claim ourselves to be that which we desire to be will we express such desires. Impressions are defined by the ideal states of mind we allow to occupy space in our mind. 🤔
61,🚨 SBC REVIEW 🚨 A card to celebrate the conclusion of a wonderful footballing career: - EOAE Mesut Özil 🇩🇪 He has 99 ball control  99 vision… 😳 Will you be completing him? 🤔 #FIFA23 #FUT23
