ID,Comments,raw text,emojis
1,something we can finally agree on 😂,something we can finally agree on ,['😂']
2,"tbf, he was tryna calm him down before the yellow too😂","tbf, he was tryna calm him down before the yellow too",['😂']
3,i had to ask what ‘cap’ meant the other day 😂,i had to ask what ‘cap’ meant the other day ,['😂']
4,this meme's been making me laugh so much 😂,this meme's been making me laugh so much ,['😂']
5,"i told my wife that when i die: my final request of her will be that she clips my toenails and lotions my feet before emts arrive to pick up my dead body. i want to check out with some dignity. 
😂😳⚰️✌️🏾","i told my wife that when i die: my final request of her will be that she clips my toenails and lotions my feet before emts arrive to pick up my dead body. i want to check out with some dignity. 
⚰️✌️",['😂']
6,you made your decision but you’re bothered by my post because you think it’s about you 😂😂😅 miss mamas byeee,you made your decision but you’re bothered by my post because you think it’s about you  miss mamas byeee,"['😂', '😂', '😅']"
7,who asked you to take me seriously? i said what i said you don’t gotta take it you dumbass 😂,who asked you to take me seriously? i said what i said you don’t gotta take it you dumbass ,['😂']
8,hahahaha if you say so sheep😂 science has been wrong many a time you should know that just look during the pandemic we were a laughing stock😂😂😂,hahahaha if you say so sheep science has been wrong many a time you should know that just look during the pandemic we were a laughing stock,"['😂', '😂', '😂', '😂']"
9,"lmfaoo what standard? not looking like a hog? yeah, get over it😂","lmfaoo what standard? not looking like a hog? yeah, get over it",['😂']
10,"i have too much fun drunk, i need to stop 😂😂","i have too much fun drunk, i need to stop ","['😂', '😂']"
11,y’all are using the opportunity to post your pictures 😂,y’all are using the opportunity to post your pictures ,['😂']
12,bunch of bitches you fans are😂 ain’t won in anfield in over 10 years and think it’s cos you’re in title race? sureee,bunch of bitches you fans are ain’t won in anfield in over 10 years and think it’s cos you’re in title race? sureee,['😂']
13,"honestly i only trust  for calls lol, he’s literally always right 😂","honestly i only trust  for calls lol, he’s literally always right ",['😂']
14,my problem is i’m mad territorial. i dead won’t like somebody nomore but i don’t want nobody else to have them 😂,my problem is i’m mad territorial. i dead won’t like somebody nomore but i don’t want nobody else to have them ,['😂']
15,we’re usually 3-0 down at ht i’ll take this😂,we’re usually 3-0 down at ht i’ll take this,['😂']
16,at least the flames have a shot at beda- ohh wait they don’t even have that 😂,at least the flames have a shot at beda- ohh wait they don’t even have that ,['😂']
17,no you are not... this is a italian  festival shown on the news last night🤣😂😅,no you are not... this is a italian  festival shown on the news last night,"['🤣', '😂', '😅']"
18,"🤣😂🤣😂🤣
voted for neither biden nor trump.

one's a ""business guy"" who used the us govt to make private/personal business deals, while the other's a ""lifelong politician"" doing the same.

djt was outside-in.
jrb is inside-out.
same guy. same values.
different branding.","
voted for neither biden nor trump.

one's a ""business guy"" who used the us govt to make private/personal business deals, while the other's a ""lifelong politician"" doing the same.

djt was outside-in.
jrb is inside-out.
same guy. same values.
different branding.","['🤣', '😂', '🤣', '😂', '🤣']"
19,😂😂 bet he's curled up by a heater now, bet he's curled up by a heater now,"['😂', '😂']"
20,i’m tired of seeing some picture here 😂,i’m tired of seeing some picture here ,['😂']
21,lord i would have broke my back or slid right off that stage 😂 shownu you fittie #shownu,lord i would have broke my back or slid right off that stage  shownu you fittie #shownu,['😂']
22,it’s a paul tierney disaster class 😂,it’s a paul tierney disaster class ,['😂']
23,didn’t promise y’all a collaboration of coffee with khosi and tea with thabang? hang in there bethunana 😂 he’ll post that content on his yt channel.,didn’t promise y’all a collaboration of coffee with khosi and tea with thabang? hang in there bethunana  he’ll post that content on his yt channel.,['😂']
24,maybe they are all broke na 😂,maybe they are all broke na ,['😂']
25,":all good. don't worry about it"". 😄 🤣 😂",":all good. don't worry about it"".   ","['🤣', '😂']"
26,😂😭 ong he turning into a lecture nigga., ong he turning into a lecture nigga.,"['😂', '😭']"
27,i would necessarily say it 😂😂😂 craving copious amounts of attention from your partner is definitely an insecurity thing.,i would necessarily say it  craving copious amounts of attention from your partner is definitely an insecurity thing.,"['😂', '😂', '😂']"
28,"yes!! me too!! 😍

bowser song was so funny 😂😂","yes!! me too!! 

bowser song was so funny ","['😍', '😂', '😂']"
29,it’s been a while since i hit up dennys on my way to getting home at 4:30 am racing to beat the sun 😂 good times.,it’s been a while since i hit up dennys on my way to getting home at 4:30 am racing to beat the sun  good times.,['😂']
30,the party still continues fam 😂😂,the party still continues fam ,"['😂', '😂']"
