ID,Comments,raw text,emojis
1,goodnight everyone 3 remember to continue to stream 😇💜,goodnight everyone &lt;3 remember to continue to stream ,['😇']
2,"congratulations mame kari lake you are also the beautiful face of all americans. 
💐💐💐
😇♥️🕊️🤗😘🌙🥰👌👍🙏🙏🙏","congratulations mame kari lake you are also the beautiful face of all americans. 

♥️️","['😇', '🥰', '👍', '🙏', '🙏', '🙏']"
3,"i’m happy with jolly , feels so good , thank you all 😇🌴🛸","i’m happy with jolly , feels so good , thank you all ",['😇']
4,aries and infj 😇,aries and infj ,['😇']
5,"words or actions?

if the apology/confession is 👉not accurate
then something is
👉still wrong.

...no longer to be addressed as
'his holiness'

#twistedconfession
#revelationreveal
#women #girls
#democratsaredifferentnow
#goddxx😇","words or actions?

if the apology/confession is not accurate
then something is
still wrong.

...no longer to be addressed as
'his holiness'

#twistedconfession
#revelationreveal
#women #girls
#democratsaredifferentnow
#goddxx","['👉', '👉', '😇']"
6,"u look amazing today

that would really help soo much today 😇🤞🏼
🍀🍀🍀🍀🍀","u look amazing today

that would really help soo much today 
",['😇']
7,what did you illegally do brother i know you are innocent 😇,what did you illegally do brother i know you are innocent ,['😇']
8,happy birthday 🎂🎈 many many returns of the day and stay blessed always 😇 allah naseeb achy krein ameen,happy birthday  many many returns of the day and stay blessed always  allah naseeb achy krein ameen,['😇']
9,"oh, to be in lourdes for the hcpt pilgrimage! 😪 but thank god for modern technology  the ability to celebrate via livestream 🙏🕯️wishing all pilgrims a very blessed week 🤗😇","oh, to be in lourdes for the hcpt pilgrimage!  but thank god for modern technology &amp; the ability to celebrate via livestream ️wishing all pilgrims a very blessed week ","['🙏', '😇']"
10,one of these nights🎶🎸😎,one of these nights,['😎']
11,lmao 🤣 she was willing to risk it all. lmao 🤣,lmao  she was willing to risk it all. lmao ,"['🤣', '🤣']"
12,it is about the paparazzi 🙄,it is about the paparazzi ,[]
13,"the order  demand was so big that they give a contract to chines company to provide a boycott chines product hastage cape  shirts for protest. 
😂😁😇😂😆","the order &amp; demand was so big that they give a contract to chines company to provide a boycott chines product hastage cape &amp; shirts for protest. 
","['😂', '😇', '😂']"
14,"master of the great hunt, who command horde of ""night-guant"" creature that straight from h.p. lovecraft's childhood nightmare 😱

nodens the elder god 😇
""lord of the great abyss"" 😈🌊","master of the great hunt, who command horde of ""night-guant"" creature that straight from h.p. lovecraft's childhood nightmare 

nodens the elder god 
""lord of the great abyss"" ",['😇']
15,i’m en route to the crib right now 😇,i’m en route to the crib right now ,['😇']
16,"much accolades 🍫🍫 for this guy😇😇
kompany in the making 🥇💯💙","much accolades  for this guy
kompany in the making ","['😇', '😇']"
17,"dear tweeps
do remember me in your prayers
may allah accept all our prayers and supplications 🙏 😇 #blessednights","dear tweeps
do remember me in your prayers
may allah accept all our prayers and supplications   #blessednights","['🙏', '😇']"
18,we have rodrygo do not worry about a thing 😇,we have rodrygo do not worry about a thing ,['😇']
19,"i was talking to my irl this morning and she said something abt my hands being skinny and said they looked bruised then told me to eat something and she said someone needs to know how bad its getting, she also said if i didnt get help i would die 😇","i was talking to my irl this morning and she said something abt my hands being skinny and said they looked bruised then told me to eat something and she said someone needs to know how bad its getting, she also said if i didnt get help i would die ",['😇']
