ID,Comments,raw text,emojis
1,"haha yep, get trump😤
all of the problems in this country will be gone. right?  poof!","haha yep, get trump
all of the problems in this country will be gone. right?  poof!",['😤']
2,so all the “ i’m from cleveland “ baseball jackets sold out 😤,so all the “ i’m from cleveland “ baseball jackets sold out ,['😤']
3,benny blanco been more like ben white 😤,benny blanco been more like ben white ,['😤']
4,the disrespect 😤,the disrespect ,['😤']
5,i don’t know what to do with our defence!!😤😤😤😤🤦🏼‍♂️,i don’t know what to do with our defence!!‍♂️,"['😤', '😤', '😤', '😤']"
6,"mom, dad, son and their family cat and you cannot tell me otherwise 😤😭🫶🏻","mom, dad, son and their family cat and you cannot tell me otherwise 🫶","['😤', '😭']"
7,"gm to anyone who see this.

happy bunny day! chocolate, my beloved 🥹

since it’s that kinda of day, i’ll say it here: dark chocolate is the best chocolate. 49% coco? banger 😎

no wrong answers here 😤 #vtubers","gm to anyone who see this.

happy bunny day! chocolate, my beloved 

since it’s that kinda of day, i’ll say it here: dark chocolate is the best chocolate. 49% coco? banger 

no wrong answers here  #vtubers","['\U0001f979', '😎', '😤']"
8,fuyukisatan though😤 big love for this catboy☝️up there,fuyuki&gt;&gt;&gt;satan though big love for this catboy☝️up there,['😤']
9,i will not accept tumbili slander on my timeline 😤😤😤,i will not accept tumbili slander on my timeline ,"['😤', '😤', '😤']"
10,"manchester born, what do you expect! 😤😤😤 i just want us to play like the starting 20 mins in the next 45 mins.","manchester born, what do you expect!  i just want us to play like the starting 20 mins in the next 45 mins.","['😤', '😤', '😤']"
11,the boys should keep their  heads man ... you don't pick up fights at anfield😤,the boys should keep their  heads man ... you don't pick up fights at anfield,['😤']
12,you see if we attacked and surrounded the ref like this😤 #livars,you see if we attacked and surrounded the ref like this #livars,['😤']
13,"youtube hates ajc right now... videos only getting 30 to 50 views... lives throttled like hell almost unwatchable.. censorship sucks! but i'm not giving up! at 6k subs we were killing it last bull cycle! 😤. i've watched yall grow and it's well deserved! lots of time, effort, and…","youtube hates ajc right now... videos only getting 30 to 50 views... lives throttled like hell almost unwatchable.. censorship sucks! but i'm not giving up! at 6k subs we were killing it last bull cycle! . i've watched yall grow and it's well deserved! lots of time, effort, and…",['😤']
14,"at this point, xhaka has to go. he created a useless distraction and we concede. this game can go either way now 🙄😤😤😤","at this point, xhaka has to go. he created a useless distraction and we concede. this game can go either way now ","['😤', '😤', '😤']"
15,"🤣😂it ain’t funny, like look at that awful shit cuhh cmon nie 😤","it ain’t funny, like look at that awful shit cuhh cmon nie ","['🤣', '😂', '😤']"
16,"i hate how people use easter as an excuse to dress slutty.
it makes me so mad seeing all these gorgeous gorgeous girlies in bunny ears and lingerie. 😤👀👀","i hate how people use easter as an excuse to dress slutty.
it makes me so mad seeing all these gorgeous gorgeous girlies in bunny ears and lingerie. ","['😤', '👀', '👀']"
17,"📝👈😈
time to get to work😤","
time to get to work",['😤']
18,"xhaka you better hope we win this mate, you brought that crowd to life for no reason 😤","xhaka you better hope we win this mate, you brought that crowd to life for no reason ",['😤']
19,ben white choosing the worst game to have a disasterclass 😤😤 needs to keep his calm in the 2nd half,ben white choosing the worst game to have a disasterclass  needs to keep his calm in the 2nd half,"['😤', '😤']"
20,"pathetic arsenal going down like that wow 🥴 , shame cos they were playing really good football , tierny is horrible isn’t he 😤","pathetic arsenal going down like that wow  , shame cos they were playing really good football , tierny is horrible isn’t he ",['😤']
21,tlj is the best star wars movie and i'll die on that hill 😤😤,tlj is the best star wars movie and i'll die on that hill ,"['😤', '😤']"
22,#livars alexander-arnold pushed him in the back! it’s unfair how commentators crucify xhaka for standing up for himself 😤,#livars alexander-arnold pushed him in the back! it’s unfair how commentators crucify xhaka for standing up for himself ,['😤']
23,she’s 12 years old?? 😭😭😭 focus on your study not on twitter 😤 im super uncomfy for what she did.,she’s 12 years old??  focus on your study not on twitter  im super uncomfy for what she did.,"['😭', '😭', '😭', '😤']"
24,i'm gonna rewatch it after i finish bojack horseman rewatch 8 😤,i'm gonna rewatch it after i finish bojack horseman rewatch 8 ,['😤']
25,"why does he always have that shit eating grin on all those selfies? :d
😤","why does he always have that shit eating grin on all those selfies? :d
",['😤']
26,got some time to kill today. who want me. 😤,got some time to kill today. who want me. ,['😤']
27,one of the greatest intros ever 😤,one of the greatest intros ever ,['😤']
28,why did he bother ordering some? surely he can also run fast enough to catch the chicken himself 😤,why did he bother ordering some? surely he can also run fast enough to catch the chicken himself ,['😤']
29,"😤 arsenal's record when leading at half-time in the #premierleague this season: 

✅ 14 wins
🤝 1 draw
❌ 0 losses

🤪 are they on their way to their first win at anfield in the league since september 2012?"," arsenal's record when leading at half-time in the #premierleague this season: 

✅ 14 wins
 1 draw
❌ 0 losses

 are they on their way to their first win at anfield in the league since september 2012?",['😤']
30,some people deserve to spend their entire mortal lives in a deep dark pit never to see freedom 😤,some people deserve to spend their entire mortal lives in a deep dark pit never to see freedom ,['😤']
31,nice to know i'm not the only one. 😔😔😔,nice to know i'm not the only one. ,[]
32,"every wayne’s song is losing in this poll, disgusting 😤😤😤😤","every wayne’s song is losing in this poll, disgusting ","['😤', '😤', '😤', '😤']"
33,wow... we finally get to hear the words... i was wrong out of fakeci's mouth😤,wow... we finally get to hear the words... i was wrong out of fakeci's mouth,['😤']
34,"someone called my dog ugly, today is not her day 😤 
i think she's beautiful!","someone called my dog ugly, today is not her day  
i think she's beautiful!",['😤']
35,fire game😤🔥🔥🔥🔥,fire game,"['😤', '🔥', '🔥', '🔥', '🔥']"
36,a penalty miss means vvd is better 😭😭,a penalty miss means vvd is better ,"['😭', '😭']"
37,so ready for my heart to be ripped to pieces💔😤😤,so ready for my heart to be ripped to pieces,"['😤', '😤']"
38,we are definitely getting the cup this year😤,we are definitely getting the cup this year,['😤']
39,😱they don’t know close to half 🤦🏾‍♂️😤😭😭😭,they don’t know close to half ‍♂️,"['😤', '😭', '😭', '😭']"
40,"the dalai lama's attitude towards the indian boy was definitely repulsive.
what the fuck went through his head to come up with something so disgusting?!?

💧🤔💫👊🏽😤💨

#dalailama 
#dalaí 
#m3m 
#india 
#tibet","the dalai lama's attitude towards the indian boy was definitely repulsive.
what the fuck went through his head to come up with something so disgusting?!?



#dalailama 
#dalaí 
#m3m 
#india 
#tibet","['🤔', '😤']"
41,you just need to understand fireboy's sound. he is just different. you know it 😤,you just need to understand fireboy's sound. he is just different. you know it ,['😤']
42,mood every day 😤,mood every day ,['😤']
43,about to go around asking people who their favourite designer is 😤,about to go around asking people who their favourite designer is ,['😤']
44,"need to start taking our chances, should have scored at least 4 😤😴😩","need to start taking our chances, should have scored at least 4 ",['😤']
45,“you’ll never find someone like me” shorty what?? you don’t know happiness unless it’s with me😤,“you’ll never find someone like me” shorty what?? you don’t know happiness unless it’s with me,['😤']
46,"i will say it again…. 
  any venue in the county 

last night was wild😤🔥","i will say it again…. 
 &gt;&gt;&gt;&gt;&gt; any venue in the county 

last night was wild","['😤', '🔥']"
47,nice. punch him more. that heck face must be disposed 😤😤😤,nice. punch him more. that heck face must be disposed ,"['😤', '😤', '😤']"
48,the greatest intro of all time 😤😤😤😤😤😤😤😤😤😤😤😤😤😤,the greatest intro of all time ,"['😤', '😤', '😤', '😤', '😤', '😤', '😤', '😤', '😤', '😤', '😤', '😤', '😤', '😤']"
49,"i love the stuff i got from u ❤️ so glad i was able to stop by, wont make it for the garf panel since i left con but it was nice seeing u!!! 😤👍","i love the stuff i got from u ❤️ so glad i was able to stop by, wont make it for the garf panel since i left con but it was nice seeing u!!! ","['😤', '👍']"
50,"game face activated 😤 
 has a 2-shot lead heading into the final round at augusta. 
#teamsrixon","game face activated  
 has a 2-shot lead heading into the final round at augusta. 
#teamsrixon",['😤']
51,i wouldn't mind committing incest with you in that case 😤🤧,i wouldn't mind committing incest with you in that case ,['😤']
52,"every single day! just had a vent about the lack of appreciation! wtf is wrong with some people? adhd is not an excuse not to learn, or to be rude to people who do help you, i am 🤬😤 about it! sending virtual ones! 🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗","every single day! just had a vent about the lack of appreciation! wtf is wrong with some people? adhd is not an excuse not to learn, or to be rude to people who do help you, i am  about it! sending virtual ones! ",['😤']
53,"if we actually had composure and confidence we could actually be 4-1 up. robertson chance . salah’s chance, salah’s goal and hendo’ hoof inside the box 😤","if we actually had composure and confidence we could actually be 4-1 up. robertson chance . salah’s chance, salah’s goal and hendo’ hoof inside the box ",['😤']
