ID,Comments,raw text,emojis
1,then what’s this you posted? 🍯 😂,then what’s this you posted?  ,['😂']
2,that jawline can cut through anything….he’s so hot 🥵 ❤️‍🔥,that jawline can cut through anything….he’s so hot  ❤️‍,"['🥵', '🔥']"
3,i’ll diss your whole bloodline and then block you 🥵,i’ll diss your whole bloodline and then block you ,['🥵']
4,emily's tits look soo good in this dress 😩🥵😳🔥,emily's tits look soo good in this dress ,"['🥵', '🔥']"
5,me asfff 😭😭😭😭 i’ll definitely say this,me asfff  i’ll definitely say this,"['😭', '😭', '😭', '😭']"
6,i want this superman to safe me ❤️‍🔥🥵,i want this superman to safe me ❤️‍,"['🔥', '🥵']"
7,i know dawney gone loveee deuce outfit 😏🤭 can’t wait to send her brother pics to her,i know dawney gone loveee deuce outfit  can’t wait to send her brother pics to her,[]
8,it might be a two handed job today 😈🥵😍,it might be a two handed job today ,"['🥵', '😍']"
9,they treat according tontheri their law...new king new rules 🥵🔥,they treat according tontheri their law...new king new rules ,"['🥵', '🔥']"
10,anyone up rumbling theyre jaeger rn 🥵,anyone up rumbling theyre jaeger rn ,['🥵']
11,"on easter, chy tried to gaslight me into believing i didn’t meet someone i know i did. she’s straight so she doesn’t get it but i remember when i meet pretty girls, it’s like a gay super power. nicolle and cilla are two very different pretty pretties but i know the difference 🥵","on easter, chy tried to gaslight me into believing i didn’t meet someone i know i did. she’s straight so she doesn’t get it but i remember when i meet pretty girls, it’s like a gay super power. nicolle and cilla are two very different pretty pretties but i know the difference ",['🥵']
12,what a good boy! long live chad! 👏 🥵 💦,what a good boy! long live chad!   ,['🥵']
13,"join my retweet game, lets milk his loser pockets 😂🥵","join my retweet game, lets milk his loser pockets ","['😂', '🥵']"
14,"holy, that's a lot of bbc, miss m-mirko, may i assist you as a good cucky cleaner or perhaps you want me to assist as an extra cock sleeve to be converted into a true sissy cuck? 😍🥵♠️🙏🤤","holy, that's a lot of bbc, miss m-mirko, may i assist you as a good cucky cleaner or perhaps you want me to assist as an extra cock sleeve to be converted into a true sissy cuck? ♠️","['😍', '🥵', '🙏']"
15,"does anyone know where i can get some green chicory? not dry chicory, not endive - fresh green chicory. need to replenish my italianx powers 🥵","does anyone know where i can get some green chicory? not dry chicory, not endive - fresh green chicory. need to replenish my italianx powers ",['🥵']
16,your not lying. 🔥🥵,your not lying. ,"['🔥', '🥵']"
17,"a lot of jaemin 🥵 makes me insane 🧎🏻‍♀️

but still my cute nana side is the best 🥹🤍
his cute side will always win in my heart.","a lot of jaemin  makes me insane ‍♀️

but still my cute nana side is the best 
his cute side will always win in my heart.","['🥵', '\U0001f979', '🤍']"
18,would be happy to oblige 🤤🥵💦,would be happy to oblige ,['🥵']
19,is hot 🥵 in the red house,is hot  in the red house,['🥵']
20,we are deeply brainwashed 🥵,we are deeply brainwashed ,['🥵']
21,"brilliant as always rianne …..more importantly though , where’d you get that pie 😅🥵","brilliant as always rianne …..more importantly though , where’d you get that pie ","['😅', '🥵']"
22,ion believe it’s raining cats and dogs and i done got a slingshot…waste of money 🤬😡🥵,ion believe it’s raining cats and dogs and i done got a slingshot…waste of money ,"['😡', '🥵']"
23,yoongi on motorbike with long hair leather jacket and this cool track ahhh what a sexy ride it's gonna be !!🥵,yoongi on motorbike with long hair leather jacket and this cool track ahhh what a sexy ride it's gonna be !!,['🥵']
24,got damn they both still fine as fuck. 🥵 finer over the years babyyyyy🤯,got damn they both still fine as fuck.  finer over the years babyyyyy,['🥵']
25,the best part of watching the bulls game in the suites is taking a halftime nap 💀,the best part of watching the bulls game in the suites is taking a halftime nap ,['💀']
