ID,Comments
1,Text
2,"y'all love saying this ""y'AlL dOn'T kNoW hOw tHe GuBmEnT wOrKs"" nonsensical 🐂💩 as if i can't call EVERYONE that's involved out. that man knew exactly what he did."
3,👁💩👁 Sewage spills in your area mapped as Tories accused of ‘throwing in towel’ on leaks
4,Bullcrap 💩. Your movement is a lie and disgusting.
5,", not a serious senator! another liberal wacko who believes in no laws ! If it's a liberal Judge it's OK ! Look at the 💩hole his state is! Lawlessness and anarchy rule there ! I'm sure you do agree !"
6,Why would you loose Elon? 🙄 if he's sick all the more reason For him to come say hi; blind; 🙃 eyə can cure the sick ya know. But whatever. Im just some crazy girl; 🦉👃💩🤣🤌😂 He's too thick headed to be going anywhere anyways
7,"NJ is a safe haven for every radical left wing psychopathic load of 💩 but it's definitely NOT a safe haven for Americans, senior citizens, small businesses, freedom and marine life. is a Communist (liberal) domestic terrorist #njdeservesbetter #murphymustgo"
8,The city is getting ready to shut down another major street for God knows how long🤦🏽‍♂️ This 💩 is getting beyond old 💯💯👎🏼👎🏼
9,"Up in apologizing for him, for as long as I have known him… I am the psychologist after all! And the MOM. Your queen 🐝 lol.. wink wink hip hip who has! Iran 🇮🇷🌎🤌💪🏻👍😂🐝🤣☮️🙏🎫🔥❤️✡️💩☝️🌚💀☠️🤬🫘😨🤔😻"
10,Sorry for taking a colossal s**t all over ur narrative 😭😭😭💩💩💩
11,The real Heroes. Not the junkie criminals that occupy our public spaces and attack citizens only to ask for MORE 💸🤮💩🔥🔪💉💉💉💉💉
12,I hope the family sues him. Piece of 💩
13,The piece of 💩knows it is all fabrication and he is a useless little poodle.
14,Clarence Thomas was full of BS 💩 then as he is now. #ImpeachClarenceThomas
15,That person is absolutely full of 💩
16,"The man who embodies the term DILF, the one and only Choi Mujin 🫠🧎🏻‍♀️"
17,That's not the look of oppression. 🤣🤣💩
18,The Braves have looked like 💩tonight.
19,"Who’s these other senior royals, it won’t be Anne and Edward because they’d have to take Andrews away , so your saying William Kate and Sophie 😂😂or maybe the KCs wife, she’s not popular at anytime, this RF won’t last till George it’s like a 💩soap opera"
20,"👀👀👀 Lookey here telling lies for the Liberals like usual! This was a policy legislated under  legislated to END NOW! NOTHING TO DO WITH LABOR! Sky news, the place you go to for LIES  🐂 💩!"
21,You lie and you make up crap 💩 you are MAGA Nazi Disciple of Antichrist Trump.
22,"He's taken lives. He funneled US taxpayer funds into Gain of Function Research in Wuhan China. The man made virus escaped the lab... causing pandemic. Unless, you believe the 'wet market' 🐂💩."
23,"You all demented Liberal Democ-RATS are what is wrong, cancer of society 🤣🤭💩💯😂🤣🤭💩💯💯😂🤡🤡🤡🤡"
24,The guy can’t hit a beach ball with a tennis racket right now. I’m sure he will eventually bounce back but right now he’s 💩
25,And soon was very disappointed at his request!! 💩💩
26,She is Absolutely A DISGUSTING PIECE OF 💩💩💩
27,This disgusting piece of crap 💩 of a man
