ID,Comments
1,The Daughter  Son 👫🐇😍
2,"That's so cool!! 😍 If you ever track it down, please share. I'd get a kick out of that forsure."
3,"Hi, my Sean 😍🥰. l've missed you, my friend, and I hope all is beautiful in your world."
4,jungkooooook 😍💖🥰🥹💋🌼🌈✨🍓🥂 (i was gonna 🔪 about 🛴 but whatever)
5,The face is FACING 😩😍😍
6,Very beautiful 😍😍😍 picture and CEO
7,That's crazy 😍😍😍😍😍 So so so cool 😱😱😱
8,So beautiful! Vibes Cutie Daddy with the blanket 😍😅
9,"Had a beautiful day with these grands 😍 our Italian meal was a hit , Happy Easter to all my friends , I hope you all had a blessed day !!!"
10,You all need to hear this🔥🔥🤍 Pls Go help me Tag Under the Comment section as much as You can🙏😍😩😫🤍
11,this week i overworked myself sm and i’m abt to do it again 😍😍
12,That thang was made for sittin on faces 🙃🙃🙃🙃😍😍😍😍😍❤❤❤
13,i got two plates to get after work and one otw to me 😍😍😍🔥🔥
14,Good morning 😍 Wish me best of luck for papers😭 #psychology
15,all my ppls are legit top tier 😍😍!!
16,Award received 🤩🥳 thank you very much I wish you the greatest success ☺️🎉❤️
17,GOT YOU BLOCKED EXCITED TO NEVER TALK 😍 i’m SO sorry for your loss 😭 I FEEL SO MUCH LIGHTER LIKE A FEATHER WITH YOU OFF MY MIND 😌😌😌
18,Thank you! So excited 😍
19,We know what you meant Wookie 🫰🏻😍
20,Naaah you're the sexy bitch 😍 and also mine
21,"ctrl, sos, isolation, red moon in venus, bday, anti 😍"
22,#ThalapathyVijay Good morning ♥️♥️😍
23,Boredddd!!!! I’m trying to have fun before my program starts in junneeeee 😍😍😍😜😜
24,Aw how lovely 😍
25,This blue on you Omg?? 😍😍😍
26,"jewelry play, nail biting/picking, knuckle popping, floppy hands, kicking my legs, i have more i cant think of 😍"
27,I guess maybe the missing byhumanmade Igstory yesterday was abt this yt post! 🤭😁🤣 Let's check it out!🤩😍 #LeeSeungGi #이승기 #Humanmade #Roadtrip #음악시간 #MusicTime
28,💘🤨😍😌😄 Week join discuss popular it safe. #恋物癖 #性感 #肉棒
29,💥🥰😌😍🤨 Policy hit painting arm believe down. #伟哥 #大乳晕 #手冲实录
30,love getting out of work early 😍
31,❤️🐤🐱 so gentle 😍
32,Looking forward to another amazing week. Hope to see you there. 😍
33,"god my dolan twins phase was not okay, if i had to choose one grayson. but they’re both hot 🙈😍"
34,This giving Missy vibes 😍
35,Such a beautiful little lady 😍
36,"Such a fine pretty woman, always rt-ing my shiit for me 🙏😍"
37,My wife is cuter than yours 😍😍😍
38,"I never got to see a full ep. That was before my time. I think it was on Nick at Nite. I do know watching Electra Woman and Dyna Girl, Judy Strangis was in 222. 😍 OMG she was hot!"
39,Every time i see you bb my mouth drops and drool comes out 🥰😍🤤💋 You are so fricken sexy and beautiful ❤️💋
40,Nah cs my bsf called me after she did her hair 😍😍.. and LMfaoo now I want her to do my hair
41,Basically D-day is Yoonpearl's child. 😍
42,Look at the bright red ❤️❤️❤️😍👌👌 Badygechillies 😍🔥🔥🔥 For Rasam powder cummin seeds must be bit more to enhance flavor Also I add some toordal to thicken.. Awesome pwdr 👌👌
43,"This trending music game is super addictive 😍 fun, exciting and challenging! 💥 Check it Out! 👉Tiles Hop👈 #TilesHop #MusicGame #Playing #Mobile #Game #Fun #Trending #Amanotes"
44,Yep my fyp really said FYP today 😍😍
45,"She may not admit it because she's so humble but, she is by far, to me, the most entertaining tennis player on tour. Love Ons! 😍 Sabalenka/Sakari gets an honorable mention 🙂"
46,Shit I’d let you sit on my face and suffocate me 🤤❤️😍
47,Thank you for coming around.💃💃💃💃
48,I GOT HOZIER TICKETS idk i just wanted to tell u. i’m seeing him in october 😍😍😍😍😍
49,It's great. Between an innocent look and a provocative one! 😍😇
50,You could wear the Ajax bob Marley shirt to a funeral n everyone would luv it😍🔥
51,It’s Complicated 🤣😍🤗
52,siempre complaciendo a mis fans 😍😍
53,"from me she got no profit, then will leave... that's the world, but who can blame them, for they have to live... so I feel ok... I know not each away is from ur hand, but some are. I intentionally wrong u , just want to correct u😍 so now u know... my heart is clear...🪷"
54,OMG If God truly made man in his image… Holy F he is one gorgeous man from what I’m seeing 😍😍😍😍
55,Loved every minute of it 😍😍 the red suits made my Saturday night 😁😁 and loved hearing Walls ❤️❤️ very gospel and happy Easter
56,sb trick for me 😍
57,#mallimodalaindhi just saw this movie.. you are such hilarious andi movie lo🤗🤗👏🙌👍🙏😍❤️not sure how did we miss this:) awesome dialogues and ur performance amazing andi :) “pathetic mix of JohnWick and Arundathi” “golden leg of Gotham city” haha 😀👍🙌👏
58,Always serving looks and brilliance 😍
59,I L♥️VE YOUUU more with my EVEry breath🥰🙏🏻😍 Infinitely🔥♾🔥Eternally ❤️‍🔥🌹❤️‍🔥
60,THIS ERA OF HEESEUNG K!LLS ME EVERY TIME 😍😍
61,"GM！ A great week has started!🥳 In your spare time, let's have an exciting 3V3 game!😍 #demonwar #gamefi #NFT #PVP #NFTCommunity"
62,😍I'll be great I promise
63,I love my baby peoples on her daddy side! god blessed me with them😍
64,Give a dog a forever home 🥰🐶🐾💜 I mean… look at this face people… who wouldn’t want this fur baby in the family 😍#EasterDog #HappyEaster #RescueDog #Dog #Dogs #UK #AdoptADog #Glasgow #Scotland #DogsTrust
65,Do you like our Umbrella For Baby Stroller? 📢Share with friends who would LOVE it too!😍😍 $21.99
66,🔥 CUSTOMIZED SUGA | AGUST D TOUR MEMORABILIA CONCERT TICKET V2 🔥 - custom to your ticket seating - choice between QR code for MV to Agust D or Daechwita or People Pt. 2 - #D_DAY updates with light mode backing! who’s ready for #SUGA_AgustD_TOUR?? 😍
67,"then these are for you! 😍 enjoy! subscribe, like  leave a comment please!"
68,"how do you draw ogata so well 🥺😍 the smugness,,,, its captured perfectly"
69,Can’t help but spoil her😍🫶🏾💕 #Easter2023
70,finally get to meet the Pokebot memer of old 😍
71,😍Deer Life Cycle Facts #youtube #deers #shorts #ytshorts via
72,"OH MY GOD The expressions, the glasses, the GLOWING EYES 😳😍"
73,A very Big Thank You to all of you who RT  like our Tweets. Much Gratitude 😍
74,Clase mujer 😍
75,Oh absolutely! Hey girls 😍🥵
76,Yessss I am so for it 😍💕 I ended my raven/crow hair phase but it was gorgeous when I had it! 👀
77,The string in this song 😍 elite music
78,Young miko me tiene 😍
79,"GOOD MORNING INDEED 😍💜 Ohhh you dont know how I miss you, Jungkook. Whatever you are doin, just enjoy 💜🥹💜 Love you, Jagiya 💜 BANG PD-NIM!!!! THANK YOU!!! 👏🏻👏🏻"
80,Thanks so much Sam  Happy Easter Everyone!! 🐰✝️🍫💜😍🐣🥚🙏
81,Did u see the views on this video though? 😂😂😂😂😂.. KING SHIT🤸‍♂️🤸‍♂️🤸‍♂️🤸‍♂️👑👑👑👑👑 See beauty 😍😍😍😍🥳🥳🥳🥳🕺🕺🕺🕺 Oya legwork 🕺🕺🕺🕺🕺 KING KHOSI KHOSI THE TOPIC
82,I DONT PLAN TO 😍😍💭💭🫶🏻
83,"Wow Luke, great pic! Always so handsome, inside and out, but looking especially sharp!😍"
